NER_count,propn_count,likes_count_stdev,captions_count_stdev,is_promotional,Truth
1,7,0,4.02,0,1
1,16,1.13,5.84,0,0
1,2,1.52,5.46,0,0
0,4,1.61,5.73,0,0
2,5,2.02,5.19,1,1
0,8,2.47,0,0,0
1,14,2.87,0.89,0,1
6,23,3.1,1.97,1,1
1,11,3.19,4.49,0,1
5,53,3.35,0.27,1,1
1,6,3.39,5.69,0,1
3,13,3.94,5.77,1,1
2,15,4.02,4.33,1,1
1,12,4.06,4.37,0,1
0,1,4.43,6.04,0,1
0,10,4.71,0.85,0,1
0,2,4.84,6.15,0,0
0,14,4.88,3.99,0,1
0,4,5,5.07,0,1
1,16,5.17,4.57,0,0
0,23,6.62,4.02,0,1
2,10,6.66,4.33,1,1
3,18,6.86,2.94,1,1
1,2,6.96,4.45,0,1
3,13,7.2,3.56,1,1
0,0,0,4.78,0,0
0,1,0.98,5.08,0,0
0,8,1.93,4.49,0,0
0,7,2.02,4.28,0,0
0,1,2.05,4.83,0,0
0,1,3.13,4.95,0,0
0,0,3.33,4.95,0,0
0,14,3.41,4.45,0,1
0,0,3.71,5.12,0,0
0,7,3.76,4.78,0,0
0,0,3.85,5.04,0,0
0,0,4.08,5.08,0,0
0,0,4.46,5.21,0,0
1,14,4.49,4.53,0,0
0,14,4.59,4.53,0,0
0,3,4.75,5.17,0,0
2,35,5.37,0,1,1
4,21,5.45,1.23,1,1
4,15,5.68,2.84,1,1
0,0,5.9,5.17,0,0
0,10,6.3,3.26,0,1
1,17,6.31,2.75,0,1
0,3,7.19,5.12,0,1
0,11,7.26,2.37,0,1
6,41,3.19,0,1,1
3,29,8.2,2.21,1,1
0,23,1.8,2.65,0,1
2,17,2.95,2.9,1,1
0,24,8.16,2.9,0,1
0,20,8.07,3.24,0,1
2,23,8.03,3.58,1,1
3,22,1.98,3.7,1,1
3,32,2.52,3.7,1,1
0,18,7.87,3.74,0,1
1,7,8.23,3.92,0,1
1,13,2.07,4.3,0,0
1,23,2.9,4.33,0,1
0,18,1.31,4.36,0,0
2,26,7.59,4.39,1,1
0,21,3.08,4.42,0,0
2,32,0,4.76,1,0
0,1,2.41,4.86,0,0
0,14,2.62,4.89,0,0
0,22,3.99,4.95,0,0
0,22,1.52,4.98,0,0
3,34,2.24,4.98,1,0
0,10,2.82,5.26,0,0
0,10,3.08,5.35,0,0
0,5,3.36,5.64,0,0
9,44,6.05,0,1,1
2,28,5.19,0.14,1,1
0,9,4,1.21,0,0
6,29,5.89,1.52,1,1
2,15,5.99,3.26,1,1
2,25,6.04,3.69,1,1
4,41,5.63,4.11,1,1
2,36,3.82,4.26,1,0
2,9,2.1,4.5,1,1
0,7,2.01,4.68,0,0
0,4,4.67,5.04,0,0
0,19,4.52,5.39,0,0
0,13,4.53,5.39,0,0
1,15,4.97,5.53,0,0
0,7,2.76,5.53,0,0
0,2,4.75,5.57,0,0
0,8,4.63,5.6,0,0
0,1,5.16,5.64,0,0
1,7,0,5.71,0,0
0,0,4.66,5.74,0,0
0,11,3.88,5.74,0,0
0,7,4.14,5.78,0,0
0,3,4.62,5.96,0,0
1,19,7.41,4.8,0,1
1,16,7.05,4.23,0,1
5,21,6.14,1.1,1,1
4,27,5.52,1.74,1,1
0,21,5.39,4.41,0,0
0,12,5.32,4.48,0,0
7,20,4.91,0,1,1
0,28,4.89,4.48,0,0
0,12,4.87,4.48,0,0
0,20,4.86,4.73,0,0
1,11,4.85,4.62,0,0
0,25,4.77,4.45,0,0
2,23,4.37,4.52,1,0
1,20,4.25,4.73,0,0
0,23,4.12,4.59,0,0
0,11,3.6,4.52,0,0
0,20,3.12,4.34,0,0
0,16,3.1,4.45,0,0
0,15,2.91,4.34,0,0
3,19,2.46,4.59,1,0
1,23,2.09,3.66,0,1
0,15,2.03,3.88,0,0
0,8,1.02,4.02,0,0
1,28,0.94,4.38,0,0
0,19,0,4.45,0,0
