user_id,url,Food,Fashion,Make-up,Beauty,Lifestyle,Luxury,Travel,Photography,Fitness,Sports,Gaming,Entertainment,Gadgets & Tech,Finance,Education,Animal/Pet,Health,Self Improvement,Art,Parenting,Books,genuinity_score,top keywords
127,https://www.instagram.com/abhiruchipandey/,2.0,12.0,6.0,4.0,4.0,3.0,15.0,2.0,6.0,5.0,1.0,5.0,4.0,2.0,2.0,3.0,3.0,10.0,4.0,6.0,3.0,75,"blogger,styling,travel,curvy,one,also,love,picture,right,time,know,day,last,zara,life,something,vogue,streetwear,urbanwear,cosmopolitan"
128,https://www.instagram.com/thebasic_culture/,3.0,8.0,5.0,5.0,6.0,3.0,5.0,1.0,17.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,8.0,9.0,3.0,5.0,3.0,71,"lookbook,one,make,time,workout,much,day,hair,look,feel,lifestyle,lifting,yle,superfoods,get,good,also,always,us,year"
132,https://www.instagram.com/vipul_juneja/,2.0,7.0,5.0,4.0,7.0,4.0,12.0,2.0,7.0,5.0,2.0,3.0,5.0,2.0,4.0,3.0,3.0,8.0,4.0,5.0,5.0,93,"get,new,india,vaibhav,look,time,love,bio,style,link,guys,best,men,weekend,amazing,products,one,skin,day,arrow"
134,https://www.instagram.com/theleggylass/,2.0,11.0,6.0,9.0,7.0,3.0,12.0,2.0,5.0,4.0,1.0,5.0,5.0,1.0,2.0,3.0,2.0,7.0,3.0,5.0,3.0,65,"pune,love,happy,mumbai,weekend,blogger,look,style,fashion,makeup,delhi,beautiful,diwali,pretty,cute,get,bangalore,sexy,day,https"
135,https://www.instagram.com/akanksharedhu/,3.0,5.0,5.0,9.0,9.0,7.0,16.0,2.0,5.0,3.0,1.0,4.0,5.0,1.0,2.0,3.0,3.0,6.0,3.0,4.0,4.0,67,"fashionista,traveler,aman,pic,stories,today,goa,love,link,new,see,travelog,get,day,foodie,srilanka,blog,http,sunset,beach"
136,https://www.instagram.com/truefashionholic/,3.0,6.0,9.0,9.0,4.0,4.0,7.0,2.0,7.0,4.0,1.0,4.0,6.0,3.0,3.0,4.0,4.0,9.0,5.0,5.0,4.0,86,"makeup,get,code,sugar,skin,love,fashionista,fashion,shade,one,https,shades,look,additional,link,discounts,lipstick,lips,purchases,also"
138,https://www.instagram.com/fatgirlkitchenchronicle/,24.0,3.0,5.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,7.0,10.0,1.0,1.0,2.0,3.0,18.0,2.0,3.0,4.0,72,"hai,food,foodie,india,ke,kar,apna,lagta,acha,comment,tasty,tag,delhi,blogger,mein,cake,recipe,ni,ki,ho"
141,https://www.instagram.com/ankit.duhan/,2.0,9.0,6.0,5.0,12.0,4.0,6.0,5.0,11.0,3.0,1.0,4.0,5.0,2.0,3.0,3.0,3.0,6.0,4.0,4.0,3.0,59,"fashion,men,india,love,style,delhi,photography,beard,get,shirt,vintage,portrait,beautiful,wash,aesthetic,look,credit,tumblr,menswear,man"
142,https://www.instagram.com/simplyshalini/,3.0,3.0,17.0,17.0,2.0,3.0,5.0,2.0,5.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,6.0,4.0,3.0,4.0,89,"makeup,skin,beauty,link,bio,products,video,skincare,lipstick,page,giveaway,face,matte,lip,powder,look,new,foundation,used,palette"
147,https://www.instagram.com/wannaeat16/,49.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,5.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,5.0,2.0,3.0,5.0,75,"updates,yummy,foodism,tasty,foodies,dinner,hungry,pizza,veg,frame,nd,love,food,nin,homemade,rice,paneer,aloo,guys,soya"
