id,reach,swipe_ups_count,tap_count,followers,avg_engagement_month,ffratio,total_likes,total_comments
25,118.0,0,nil,15624,nil,10.74,18813,1605
25,1376.0,0,nil,15624,nil,10.74,18813,1605
95,15838.0,nil,nil,197763,0.0868421052631579,848.77,3154,110
95,6823.0,nil,nil,197763,0.0868421052631579,848.77,3154,110
102,200.0,60,nil,25937,2.16692307692308,3.46,6404,348
113,1689.0,9,nil,45758,1.44583333333333,10.91,7538,163
113,1414.0,8,nil,45758,1.44583333333333,10.91,7538,163
113,1564.0,4,nil,45758,1.44583333333333,10.91,7538,163
113,1233.0,10,nil,45758,1.44583333333333,10.91,7538,163
381,16681.0,9,nil,106653,2.265,162.33,34452,2691
386,1444.0,34,nil,21798,3.92928571428571,19.5,10793,644
386,1889.0,23,nil,21798,3.92928571428571,19.5,10793,644
386,1541.0,0,nil,21798,3.92928571428571,19.5,10793,644
386,1526.0,0,nil,21798,3.92928571428571,19.5,10793,644
386,1492.0,30,nil,21798,3.92928571428571,19.5,10793,644
386,1327.0,30,nil,21798,3.92928571428571,19.5,10793,644
470,14000.0,nil,nil,167290,0.344814814814815,106.76,4489,725
560,300.0,3,nil,22151,2.92125,129.54,6079,1315
625,1812.0,nil,nil,15600,nil,12.68,10735,270
637,13286.0,1119,nil,23148,5.50333333333333,133.8,12650,250
637,14101.0,1111,nil,23148,5.50333333333333,133.8,12650,250
637,13286.0,1002,nil,23148,5.50333333333333,133.8,12650,250
637,2650.0,nil,nil,23148,5.50333333333333,133.8,12650,250
711,33900.0,475,nil,383101,11.985641025641,576.09,320831,2373
736,2722.0,39,nil,63851,8.662,202.7,55646,352
736,2854.0,16,nil,63851,8.662,202.7,55646,352
804,2245.0,24,nil,31187,4.53117647058824,59.29,14719,1320
804,2242.0,24,nil,31187,4.53117647058824,59.29,14719,1320
812,443.0,10,nil,49624,1.23,424.14,16170,876
812,285.0,7,nil,49861,nil,426.16,nil,nil
812,265.0,nil,nil,49887,nil,430.06,nil,nil
928,2100.0,28,nil,63798,2.32741935483871,10.68,15268,1455
928,2100.0,28,nil,63798,2.32741935483871,10.68,15268,1455
938,1036.0,0,nil,21218,nil,14.65,8510,784
999,1700.0,10,nil,16253,43.9860869565217,13.56,67204,1035
999,1233.0,7,nil,15837,nil,13.27,nil,nil
1073,1247.0,16,nil,55931,2.67636363636364,377.91,124413,1626
1073,1305.0,17,nil,55931,2.67636363636364,377.91,124413,1626
1073,45000.0,76,nil,55931,2.67636363636364,377.91,124413,1626
1107,3934.0,26,nil,73198,nil,105.47,nil,nil
